utteredby	name	fullname	id	address	descr	lat	lon	ialink
afor_av_paola-nora-e-annamaria-valentini_01	Storchi		PL000240	Teatro Storchi, 15, Largo Giuseppe Garibaldi, Quartiere Albareto, Centro Storico, Modena, MO, Emilia-Romagna, 41124, Italy (		NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Tabaccheria		PL000241			NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Via bonacini		PL000255	Via bonacini, modena		10.9411256	44.6424015	
afor_av_paola-nora-e-annamaria-valentini_01	Via cavour		PL000256	Corso Camillo Benso di Cavour, Addizione Erculea, Centro Storico, Modena, MO, Emilia-Romagna, 41121, Italy 		10.9298475	44.649377	
afor_av_paola-nora-e-annamaria-valentini_01	Via cesare della chiesa		PL000258	via Cesare della Chiesa, modena		10.8972134	44.6507474	
afor_av_paola-nora-e-annamaria-valentini_01	Via leoni		PL000267	via Leoni, modena		10.9023159	44.6535927	
afor_av_paola-nora-e-annamaria-valentini_01	Via nicolò biondo		PL000269	via Nicolò Biondo, modena		10.8997427	44.6521154	
afor_av_paola-nora-e-annamaria-valentini_01	Via nobili		PL000270	via Nobili, modena		10.8998335	44.6479911	
afor_av_paola-nora-e-annamaria-valentini_01	Via prati		PL000272	Via Renato Prati, modena		10.9037976	44.6500687	
afor_av_paola-nora-e-annamaria-valentini_01	Via rinaldi		PL000274	Via Tommaso Rinaldi, modena		10.9006431	44.6532794	
afor_av_paola-nora-e-annamaria-valentini_01	Villaggio artigiano modena est		PL000281			NotAvailable	NotAvailable	
afor_av_paola-nora-e-annamaria-valentini_01	Villaggio giardino		PL000282	Villaggio Giardino, San Faustino-Madonnina-Quattroville, Modena, MO, Emilia-Romagna, 41128, Italy 		10.8942871	44.6425679	
afor_av_paola-nora-e-annamaria-valentini_02	Ferrovia		PL000105			NotAvailable	NotAvailable	
afor_av_rita-ronchetti_01	Bologna		PL000025	bologna, italy		11.3430347	44.4936714	
afor_av_rita-ronchetti_01	Cile		PL000060	Chile		-71.3187697	-31.7613365	
afor_av_rita-ronchetti_01	Dams		PL000087	DAMS, Via Collegio di Spagna, Saragozza-Porto, Bologna, BO, Emilia-Romagna, 40123, Italy 		11.3390538601447	44.4911621	
afor_av_rita-ronchetti_01	Fiat		PL000106			NotAvailable	NotAvailable	
afor_av_rita-ronchetti_01	Freto		PL000121	Freto, MO, Emilia-Romagna, 41123, Italy		10.8906262	44.6712409	
afor_av_rita-ronchetti_01	Gaiato		PL000122	Gaiato, Pavullo nel Frignano, Unione dei comuni del Frignano, MO, Emilia-Romagna, Italy 		10.8406698	44.2910524	
afor_av_rita-ronchetti_01	Grecia		PL000127	Grecia		21.9877132	38.9953683	
afor_av_rita-ronchetti_01	Pontedera		PL000194	Pontedera, Italy		10.6354851	43.6634536	
afor_av_rita-ronchetti_01	Quartiere		PL000199			NotAvailable	NotAvailable	
afor_av_rita-ronchetti_01	Repubblica di montefiorino		PL000202			NotAvailable	NotAvailable	
afor_av_rita-ronchetti_01	Sala civica		PL000209			NotAvailable	NotAvailable	
afor_av_rita-ronchetti_01	Sala di quartiere		PL000210			NotAvailable	NotAvailable	
afor_av_rita-ronchetti_01	San carlo		PL000213	Via S. Carlo, 5, 41121 Modena MO		10.9273017	44.645538	
afor_av_rita-ronchetti_01	Taizé		PL000242	Taizé, Bressuire, Deux-Sèvres, New Aquitaine, Metropolitan France, 79100, France		-0.1168552	46.924477	
afor_av_rita-ronchetti_01	Teatro comunale		PL000243	Teatro comunale Luciano Pavarotti, 8, Via Del Teatro, Quartiere Albareto, Centro Storico, Modena, MO, Emilia-Romagna, 41121, Italy 		NotAvailable	NotAvailable	
afor_av_rita-ronchetti_01	Via corridore 50		PL000260	Via Girolamo Corridore, 50, modena		10.8994668	44.6469515	
afor_av_rita-ronchetti_01	Via degli ulivi		PL000262			NotAvailable	NotAvailable	
afor_av_rita-ronchetti_01	Via del pratello		PL000264	via del pratello, bologna		11.3287167	44.4954124	
afor_av_rita-ronchetti_01	Villaggio		PL000279			NotAvailable	NotAvailable	
afor_av_rita-ronchetti_01	Villaggio artigiano		PL000280	Villaggio Artigiano, San Faustino-Madonnina-Quattroville, Modena, MO, Emilia-Romagna, 41123, Italy 		10.8972657	44.6513441	
afor_av_sandro-vesce_01	Arcivescovado		PL000009	Corso Duomo, 34, 41121 Modena MO	arcivescovado di Modena	10.9247818	44.6464014	
afor_av_sandro-vesce_01	Bassa		PL000022			NotAvailable	NotAvailable	
afor_av_sandro-vesce_01	Canalchiaro		PL000034	corso canalchiaro, modena		10.923256	44.6451911	
