video_id	name	id	address	description
nora01	Madonna Pellegrina	PL000138	Madonna Pellegrina, Viale Don Giovanni Minzoni, Buon Pastore-Sant'Agnese-San Damaso, Modena, MO, Emilia-Romagna, 41125, Italy	
MOGLIE_MAESTRO	Madonnina	PL000139	Madonnina, Modena, MO, Emilia-Romagna, 41123, Italy	
nora01	magistrali	PL000140		
SALVALAI_02	Malagoli	PL000141		
vesce01	Maldive	PL000142	Maldive	
nora01	Mantova	PL000143	Mantova, Italy	
MIRIAM_01_1	Marche	PL000144	Marche, Italy	
nora01	Maserati	PL000145	Maserati Store and Showroom, Via Divisione Acqui, Torrenova, Crocetta-San Lazzaro-Modena Est, Modena, MO, Emilia-Romagna, 41121, Italy	
SALVALAI_02	Masoni Rinaldi	PL000146		
MOGLIE_MAESTRO	materne	PL000147		scuola materna del villaggio dove ora c'è l'Emilio Po
fantoni02	Matic Elettra	PL000148	Via Nicolò Biondo 90, Modena	
EGENIO_RONCHETTI_02	Mbm	PL000149	via de' gavasseti 67, modena	maglificio, ex sede in via de Gavasseti
MOGLIE_MAESTRO	McDonald	PL000150		
MOGLIE_MAESTRO	Medaglie d'Oro	PL000151	Viale Medaglie D'Oro, Buon Pastore-Sant'Agnese-San Damaso, Modena, MO, Emilia-Romagna, 41124, Italy	
nora01	mensa	PL000152		
SALVALAI_02	mensa	PL000153		
MIRIAM_02_1	mercato Albinelli	PL000154	Mercato Coperto Albinelli, 13, Via Luigi Albinelli, Quartiere Baggiovara, Centro Storico, Modena, MO, Emilia-Romagna, 41121, Italy	
SALVALAI_02	Milano	PL000155	Milano, Italy	
SALVALAI_01	Mobili Uniti	PL000156		
RITA_RONCHETTI_1	Modena	PL000157	Modena, italy	
vesce01	Modena Est	PL000158		
fantoni02	MoMA	PL000160	MoMA (Museum Of Modern Art), 11, West 53rd Street, Diamond District, Midtown, Manhattan, Manhattan Community Board 5, New York County, New York City, New York, 10019, USA	a New York
nora01	Morane	PL000161	Morane, Strada Morane, Buon Pastore-Sant'Agnese-San Damaso, Modena, MO, Emilia-Romagna, 41125, Italy	
nora01	Musto	PL000162		
vesce01	Naviglio	PL000163		
nora01	negozio di generi alimentari	PL000164		
fantoni02	New York	PL000165	New York	
MIRIAM_01_1	nido	PL000166		asilo nido del Villaggio
MOGLIE_MAESTRO	Nonantola	PL000167	Nonantola, Italy	
fantoni02	Nord Africa	PL000168		
MIRIAM_02_1	Novi Sad	PL000169		
CARLO_CANDI	o' spuntune	PL000170		a Santa Severina
